community_id,size,degree,weighted_degree,clustering_coefficient,density
Community_145,2,0,0.0,0.0,1.0
Community_146,4,0,0.0,0.0,1.0
Community_147,1,0,0.0,0.0,0.0
Community_148,2,0,0.0,0.0,1.0
Community_149,2,0,0.0,0.0,1.0
Community_150,1,0,0.0,0.0,0.0
Community_151,2,0,0.0,0.0,1.0
Community_152,2,0,0.0,0.0,1.0
Community_153,2,0,0.0,0.0,1.0
Community_154,2,0,0.0,0.0,1.0
Community_155,3,0,0.0,0.0,1.0
Community_156,2,0,0.0,0.0,1.0
Community_157,1,0,0.0,0.0,0.0
Community_158,2,0,0.0,0.0,1.0
Community_159,2,0,0.0,0.0,1.0
Community_160,2,0,0.0,0.0,1.0
Community_161,2,0,0.0,0.0,1.0
Community_162,1,0,0.0,0.0,0.0
Community_163,2,0,0.0,0.0,1.0
Community_164,1,0,0.0,0.0,0.0
Community_165,1,0,0.0,0.0,0.0
Community_166,2,0,0.0,0.0,1.0
Community_167,1,0,0.0,0.0,0.0
Community_168,2,0,0.0,0.0,1.0
Community_169,3,0,0.0,0.0,1.0
Community_170,1,0,0.0,0.0,0.0
Community_171,2,0,0.0,0.0,1.0
Community_172,2,0,0.0,0.0,1.0
Community_173,1,0,0.0,0.0,0.0
Community_174,2,0,0.0,0.0,1.0
Community_175,2,0,0.0,0.0,1.0
Community_176,2,0,0.0,0.0,1.0
Community_177,2,0,0.0,0.0,1.0
Community_178,2,0,0.0,0.0,1.0
Community_179,2,0,0.0,0.0,1.0
Community_180,2,0,0.0,0.0,1.0
Community_181,2,0,0.0,0.0,1.0
Community_182,2,0,0.0,0.0,1.0
Community_183,8,0,0.0,0.0,0.5
Community_184,1,0,0.0,0.0,0.0
Community_185,2,0,0.0,0.0,1.0
Community_186,2,0,0.0,0.0,1.0
Community_187,10,0,0.0,0.0,1.0
Community_188,72,0,0.0,0.6163827885777939,0.323943661971831
Community_189,2,0,0.0,0.0,1.0
Community_190,2,0,0.0,0.0,1.0
Community_191,2,0,0.0,0.0,1.0
Community_192,39,0,0.0,0.7064939331580856,0.6005398110661269
Community_193,2,0,0.0,0.0,1.0
Community_194,2,0,0.0,0.0,1.0
Community_195,1,0,0.0,0.0,0.0
Community_196,2,0,0.0,0.0,1.0
Community_197,4,0,0.0,0.0,1.0
Community_198,2,0,0.0,0.0,1.0
Community_199,2,0,0.0,0.0,1.0
Community_200,2,0,0.0,0.0,1.0
Community_201,2,0,0.0,0.0,1.0
Community_202,2,0,0.0,0.0,1.0
Community_203,23,0,0.0,0.5128326049035395,0.48221343873517786
Community_204,2,0,0.0,0.0,1.0
Community_205,2,0,0.0,0.0,1.0
Community_206,2,0,0.0,0.0,1.0
Community_207,1,0,0.0,0.0,0.0
Community_208,2,0,0.0,0.0,1.0
Community_209,2,0,0.0,0.0,1.0
Community_210,2,0,0.0,0.0,1.0
Community_211,2,0,0.0,0.0,1.0
Community_212,2,0,0.0,0.0,1.0
Community_213,6,0,0.0,0.0,0.7333333333333333
Community_214,2,0,0.0,0.0,1.0
Community_215,2,0,0.0,0.0,1.0
Community_216,2,0,0.0,0.0,1.0
Community_217,2,0,0.0,0.0,1.0
Community_218,2,0,0.0,0.0,1.0
Community_219,2,0,0.0,0.0,1.0
Community_220,2,0,0.0,0.0,1.0
Community_221,2,0,0.0,0.0,1.0
Community_222,1,0,0.0,0.0,0.0
Community_223,1,0,0.0,0.0,0.0
Community_224,5,0,0.0,0.0,0.8
Community_225,2,0,0.0,0.0,1.0
Community_226,1,0,0.0,0.0,0.0
Community_227,2,0,0.0,0.0,1.0
Community_228,1,0,0.0,0.0,0.0
Community_229,1,0,0.0,0.0,0.0
Community_230,2,0,0.0,0.0,1.0
Community_231,1,0,0.0,0.0,0.0
Community_232,1,0,0.0,0.0,0.0
Community_233,2,0,0.0,0.0,1.0
Community_234,1,0,0.0,0.0,0.0
Community_235,2,0,0.0,0.0,1.0
Community_236,2,0,0.0,0.0,1.0
Community_237,2,0,0.0,0.0,1.0
Community_238,3,0,0.0,0.0,1.0
Community_239,2,0,0.0,0.0,1.0
Community_240,2,0,0.0,0.0,1.0
Community_241,2,0,0.0,0.0,1.0
Community_242,2,0,0.0,0.0,1.0
Community_243,1,0,0.0,0.0,0.0
Community_244,2,0,0.0,0.0,1.0
Community_245,1,0,0.0,0.0,0.0
Community_246,2,0,0.0,0.0,1.0
Community_247,2,0,0.0,0.0,1.0
Community_248,1,0,0.0,0.0,0.0
Community_249,4,0,0.0,0.0,0.6666666666666666
Community_250,3,0,0.0,0.0,1.0
Community_251,6,0,0.0,0.0,0.7333333333333333
Community_252,4,0,0.0,0.0,1.0
Community_253,2,0,0.0,0.0,1.0
Community_254,4,0,0.0,0.0,1.0
Community_255,1,0,0.0,0.0,0.0
Community_256,1,0,0.0,0.0,0.0
Community_257,2,0,0.0,0.0,1.0
Community_258,2,0,0.0,0.0,1.0
Community_259,2,0,0.0,0.0,1.0
Community_260,2,0,0.0,0.0,1.0
