source,target,weight,biological_distance
Community_1,Community_37,145.2591067042947,0.0
Community_1,Community_68,52.87765705890965,0.6359769913320947
Community_17,Community_67,3.2365606133299987,0.9777187077164209
Community_17,Community_68,39.85763250339191,0.7256100949007592
Community_17,Community_37,2.7640285890446474,0.9809717362872717
Community_37,Community_68,24.877691583301417,0.8287357526303314
Community_37,Community_67,29.077829865323967,0.7998209508164058
Community_67,Community_68,0.9428090415820632,0.993509466890077
